,0
0,287.51000172609383
1,284.8809240872496
2,283.150342233716
3,282.03071715710206
4,280.06916960908706
5,278.1458967740353
6,277.0370972747265
7,276.222232227182
8,275.9630757579503
9,277.07724960964316
10,276.60452523981564
11,276.20578433124615
12,275.8886056218901
13,274.62145695978984
14,273.37163698076256
15,272.4061109315263
16,272.7239891654886
17,272.43486954858486
18,272.0032261107192
19,272.5778261500193
20,273.1784512755136
21,274.9153126368715
22,274.1844545668508
23,273.622993148143
24,273.19555050406467
25,271.91708184242765
26,271.1034651898651
27,270.4292006325583
28,269.44609022349414
29,269.4245156924151
