,0
0,285.6956217625638
1,283.5209220089747
2,282.20404019803885
3,281.3363983429713
4,279.0636482042654
5,277.2046082042652
6,276.32194667240367
7,275.71708220633155
8,275.6834551567655
9,277.3254572434151
10,276.7589262797864
11,275.93973614443877
12,275.802812680557
13,274.1577285962692
14,272.7279376449033
15,271.86309417728165
16,272.6665055172553
17,272.314955855856
18,271.8614275572133
19,272.6291212231298
20,273.4696930758448
21,275.6392087323909
22,274.1681788636176
23,273.4004254982755
24,273.03037631490906
25,271.3816074506959
26,270.61728432049694
27,270.05495144768014
28,268.83059576266226
29,269.3225172123646
