,0,1,2,3,4,5,6,7
0,312.7996186038983,333.8707735904077,410.23234805798415,409.2791937233745,316.65270899402907,220.4437066682201,195.52760698582432,212.9532872531431
1,212.18390498246902,337.91667015551167,509.0403719319463,519.2722068697733,389.5281579468144,255.16678860921184,239.47169980342753,272.6718747907662
2,201.23464421131104,355.1131748694911,543.8235527425577,542.7655575535377,401.16865308695327,271.96377481979937,259.1788966979937,287.69239692518124
3,187.87530030864332,329.61305360864054,518.5813821953226,513.6372072586586,377.40557247020473,248.70048087463812,240.4767673772637,273.37338679396504
4,175.87266090341814,307.1961795055938,456.3782510720138,450.23185834502027,330.51064242579133,220.02429108098042,207.28362021158944,235.5440091719171
5,151.26715095429464,298.19901090716434,479.3393312221793,457.3604000384453,334.60697234025514,234.31603879816484,229.1635744516505,247.87914912109426
6,170.82815556351815,371.7103721178387,543.3318791647079,528.5152264311843,411.07442814475576,311.4190057433065,302.05207247019433,311.8407630731908
7,203.53749461964966,361.0349031106011,562.0315734579311,565.7671123294231,427.74934822113863,299.81608843269976,288.07003746054477,319.8211734208154
8,204.5293521006593,322.7575384757317,491.1688982826761,461.0275043786757,341.8043962645388,236.1361590496359,221.51365351010926,256.71398986743384
9,159.21407908424985,331.1749347575769,446.90102846689115,409.45356616298835,300.81411172837034,202.38602810833262,195.32860208556585,229.11536300327379
10,124.0681067092285,277.99525325445074,407.22031740517554,396.58820339963466,300.6305260427575,201.936876670569,203.84313804474866,233.8955068713117
11,116.72468445744988,279.9716588817712,428.4959642054808,415.5994832666308,292.8993049052565,191.66904470670738,193.50363854514995,227.0311222494564
12,114.28520176836396,248.85496886410317,406.7670832278417,362.48546870999195,259.6175640194547,173.96221940924283,180.49470629855423,211.7974326194725
13,126.25314363997849,241.1053061504879,392.48698702842074,361.7626735612513,270.7005547121629,193.33071922103906,189.23812160012437,207.21470745252
14,155.95165690263568,303.2073106058682,447.4337393485808,422.1597240126145,309.29211037553983,223.34970224922532,229.07412901338026,244.86287019230787
15,189.81864542721533,342.4328593961792,500.82090415567103,464.2582859586621,337.67781849762366,229.99747046159496,221.69647419456814,243.89545654887755
16,157.59593433552695,324.2133585025689,522.1784931850178,488.0426151927588,353.89570978557185,248.80493623968914,248.1781647524177,274.76916140333464
17,168.135229480248,331.8389129327404,523.0270173717299,472.97539207611976,325.0079489985248,211.0716804066366,197.5884338643724,224.00837155825226
18,198.7663689990312,247.6495729341988,403.7368986470831,372.3648019022152,265.50867481702346,182.76749351935783,182.90359991945328,196.49607062956352
19,181.91787752589286,288.82647146695325,439.6335968351852,430.69543246786657,326.36526129456377,228.19842401873794,226.01896076458544,241.89031292912594
20,246.65038744597635,353.4771242428841,448.7088998683874,431.97718250120136,320.2360264431387,217.33846627971914,202.61186056165403,213.79300671117062
21,269.68348448034254,343.4097568357475,440.54526506824465,393.9747521087356,289.25146329508465,213.6238298239131,215.48367766620166,233.7704696532663
22,181.0282181817487,322.95182182117503,462.21829409516084,429.6053436285411,322.7756247880431,231.65671913896284,221.56376439494431,235.69414420835488
23,145.0385155569738,294.9029664457821,451.99477888759856,434.7239536776064,334.23153454320595,238.1910973163107,224.53224121782603,240.740262915935
24,159.60797269134366,311.67113248127583,467.889185121221,428.6021186568632,319.20639938835205,223.44794726133628,203.975047793009,220.4359286044898
25,146.24728881287785,315.53606870768675,423.6470658282501,378.65324578789847,274.8620378989657,183.15928404311208,169.7506918654648,188.1744878063121
26,136.13769715617101,288.3599332581761,400.09344320601326,378.1662886588479,288.49750311940403,205.11162346524262,200.31109997498572,215.45926896032935
27,167.67305212904805,304.40288797755994,473.4419310505883,447.04261574070455,339.91918578168685,242.98739018740608,237.50297073215273,256.18542100503623
28,165.30922083578903,342.8534386042738,523.9484566095177,505.7879895777005,384.1520233005062,258.41508436387886,247.53197587435028,277.46019749620564
29,184.2115589439694,321.5878707298194,525.7981511418473,502.20974989984643,368.4728393829226,237.68082413940618,220.44573166582805,247.28591807189892
