,0
0,282.352022219301
1,281.02679247703685
2,280.3407823254486
3,279.9427693304168
4,278.1151030008398
5,276.6152115651987
6,275.92037574991343
7,275.425692143115
8,275.4213390961752
9,277.1135581239364
10,276.42717403763857
11,275.8059947643418
12,275.64261076513236
13,274.1214408238417
14,272.8427880032617
15,272.0650473281873
16,272.7448323659589
17,272.3989609948192
18,271.86628300616223
19,272.63233852989913
20,273.28174704802916
21,275.2089113035636
22,273.7394283616629
23,273.10094481728675
24,272.7515627187359
25,271.2256112050344
26,270.54477595604993
27,270.0017005463593
28,268.98484956026294
29,269.3342010612244
