,0
0,287.51000172609383
1,281.52701545322174
2,280.6564778963456
3,280.1683126963435
4,278.66845199531576
5,277.1920932253406
6,276.44664715781846
7,275.8205112811852
8,275.6719729389058
9,276.81638846393025
10,276.39206639383923
11,275.8727835950467
12,275.75641951424166
13,274.46401216086537
14,273.3361044638184
15,272.5214105192434
16,272.9297374506164
17,272.51636766708856
18,272.0877393786052
19,272.587047483385
20,273.1848990988517
21,274.7305581910997
22,273.75364279199573
23,273.1960883508945
24,272.897568239827
25,271.63020808171854
26,270.9368740816059
27,270.352004120669
28,269.39257277959973
29,269.5779538347971
