,0,1,2,3,4,5,6,7
0,311.59689949369266,333.90112600265263,410.4816608931298,409.6381089876916,317.0015877903901,220.52391497222203,195.63318187810034,212.88850604735543
1,286.2856148690554,312.9426711525705,414.30401245046255,400.4372145605003,307.3513139850589,219.84235909525162,197.81121983062948,220.68059840697597
2,258.5344810542934,355.1690203314523,461.79136092441115,436.8372373976849,323.330328899737,226.59419729623184,210.3386412504721,233.56904962035483
3,264.07605759861,335.01652517785914,415.70264957391436,387.3336851431439,283.70568041050706,193.64167273227565,180.83865201955487,204.0492234097545
4,268.6199099612515,323.1543236232164,426.77843988006174,386.16706883999746,296.8356762195477,204.0062440740617,183.7155222359033,200.92220649640683
5,292.12539933945186,364.0887525645127,466.6333115512619,408.644414288605,318.41413767673896,227.12321323222707,202.97856003455573,220.45889320406653
6,336.1988676079016,431.2408118656976,515.3512141469962,462.8236764694542,358.75570283177393,262.0945627463523,243.46435222177226,264.77662815867444
7,283.0930292435396,387.3794185773101,505.41864735368864,434.5539381417706,322.4401336267748,234.4701591788482,216.78410621994945,243.79396246953823
8,263.77967193933574,374.31652057217525,465.1165551712067,386.3675034490974,300.1485798199472,212.40756680413125,204.9474014101647,214.31404302399676
9,280.8083240260944,388.53910282927797,503.5909354460545,425.194022768643,306.7333686814759,212.64327745757234,199.96007636662767,215.5390795116402
10,290.72569087410193,393.9375533973318,520.1332619718359,439.5714848323228,322.200578256996,215.0266516511517,198.88903241710432,215.0683619408275
11,321.42210659905294,401.383931859954,529.9206668494359,440.76193424213386,292.1212601174514,190.02306713137574,183.99716183529205,206.09540353347893
12,323.9237498813257,448.34252608271953,563.5040368843506,438.7454462772624,298.2038891595353,195.85215908197037,178.3874831561003,188.98074870702342
13,362.9709107745354,458.3934720234837,562.439841610633,481.8736709656123,339.7840967372144,225.5012956740028,194.94387371476398,200.98353340052427
14,372.48463716489954,480.3037548760287,616.2298328162225,509.6725777813275,339.5062803534363,220.59401018859333,203.90566101010907,218.20704774978358
15,372.7855150956143,476.9413804865914,627.8186789589731,496.78409618377196,353.0865087656465,224.52744235716875,202.44696553644044,215.39320064827194
16,398.89290621703367,496.1989003173828,625.241933332642,533.9870370270014,367.9167623355593,235.65623564471943,210.95964253210948,222.21733438676662
17,415.84623724621946,497.1815783412841,617.4984261511634,530.4844646448495,346.35372095628526,219.32970707557527,195.93668927679107,202.73098989507648
18,445.18357543695157,489.5921054963464,589.191531253737,481.4792800600331,352.63661148685316,218.5577738654158,196.2723456357946,201.80379950980992
19,491.7067082902176,513.3830357362093,614.911237724801,531.258623383056,345.0472292762382,235.1431236828736,211.10611375969592,216.94416967487575
20,419.4590318697617,519.364345434964,611.2577773740609,498.9168104017547,361.89896209006525,248.56041287505502,207.43200207883578,194.11581492383894
21,447.9171115685197,584.2400511059092,641.5996155072717,540.9791412639107,401.79077190115714,272.5068685588795,245.51701090259968,239.14248435690484
22,493.0252860197359,577.9169966727175,671.9764525813749,541.7514883057115,385.10621504410915,254.97663599809954,234.56506784585517,235.32907259934544
23,418.10856456918214,497.2048773456887,629.8040344977915,535.8565239576347,371.91376707628484,252.0881640276718,226.4993736427401,222.61556149423936
24,361.33977737711706,485.21241035998014,639.3118362628308,514.3269646199582,347.0669234249688,237.9244282439507,208.47390659121498,204.685618284954
25,355.1179654471369,520.4589272447402,620.3102347635078,506.3759644344267,340.5780676813819,225.77297199826972,195.67233386346948,193.6276430210533
26,368.00232689514354,529.1691116220048,601.2452228738016,482.5469340486513,331.6525449659902,220.074946971586,197.31663262298153,206.510994702493
27,371.6942741202532,525.7699169137317,654.383460109362,540.658582064591,367.88437451262075,230.27159580912237,206.2679656816424,225.28828983540797
28,382.69711435426916,535.2532178813802,647.0344377935137,556.6377499134168,364.52127031995155,228.4079319600156,201.19198898943014,224.35187323254945
29,338.35985487186707,530.4518015015892,665.0661660539829,596.9298925370705,400.34238824313627,253.3891281734274,213.20777484271912,222.44904765304236
