,time
0,114.70468044281006
1,113.59235620498657
2,114.99026727676392
3,115.32559776306152
4,116.09479355812073
5,115.8649411201477
6,116.20579981803894
7,116.43515229225159
8,116.44890713691711
9,116.4692370891571
10,117.06998372077942
11,116.97383642196655
12,116.98376798629761
13,117.46957015991211
14,116.63549566268921
15,117.15115141868591
16,117.61442923545837
17,117.38900423049927
18,117.42254853248596
19,117.7269058227539
20,117.78535389900208
21,117.68076491355896
22,117.13802814483643
23,117.94883918762207
24,117.92036414146423
25,114.78781294822693
26,114.80263686180115
27,116.40385961532593
28,116.33191776275635
29,115.2932653427124
