,time
0,0.14826631546020508
1,0.13101530075073242
2,0.10524940490722656
3,0.1051480770111084
4,0.11198163032531738
5,0.11384963989257812
6,0.11107373237609863
7,0.10659265518188477
8,0.11197566986083984
9,0.12318611145019531
10,0.11059308052062988
11,0.11342406272888184
12,0.13030362129211426
13,0.11081838607788086
14,0.11158013343811035
15,0.12530279159545898
16,0.11118006706237793
17,0.11226511001586914
18,0.1118316650390625
19,0.11447787284851074
20,0.11154603958129883
21,0.11205935478210449
22,0.11118364334106445
23,0.11179590225219727
24,0.11624908447265625
25,0.11391687393188477
26,0.11277270317077637
27,0.10854816436767578
28,0.11338663101196289
29,0.10993599891662598
