,0
0,287.51000172609383
1,284.90604479101137
2,283.19521110856067
3,281.968815861225
4,279.9544944338503
5,278.15592069658845
6,277.03090543787334
7,276.1386291072351
8,275.865123323626
9,276.92075674370943
10,276.5858794709431
11,276.11142377534793
12,276.01626140354176
13,274.6300657500627
14,273.26794847046966
15,272.3073975863973
16,272.67607044243294
17,272.37038676131044
18,271.9968621276136
19,272.7507993950479
20,273.2563988330039
21,274.90505712586764
22,274.21173356988174
23,273.6164073663605
24,273.17169403948066
25,271.81161460764656
26,271.03830056693323
27,270.2942163143477
28,269.3135935875978
29,269.4781322067812
