,0
0,285.6241652403017
1,283.577620105054
2,282.1846115260165
3,281.36403035896893
4,279.08725944534166
5,277.3565088020357
6,276.3467197278505
7,275.66114849565724
8,275.678198695453
9,277.3627939613119
10,276.6495467942583
11,275.8594198562661
12,275.6826526023985
13,274.1064142623038
14,272.77526789621055
15,271.99129907204747
16,272.7376692381119
17,272.45272036270967
18,271.9714972918593
19,272.64716543578993
20,273.37975212363204
21,275.5293746455662
22,274.0914029804712
23,273.2109593661694
24,272.8779202730214
25,271.2629170454577
26,270.4053661173515
27,269.9558421518677
28,268.87764171442586
29,269.33087427587793
