,0
0,282.3346696859879
1,281.12473604063194
2,280.31537474907503
3,279.99728574615034
4,278.1692890439841
5,276.76382730977235
6,276.1155281381425
7,275.6626671906945
8,275.7248925167457
9,277.231282515764
10,276.4973100471355
11,275.8579957465789
12,275.6541577008565
13,274.237395116804
14,273.09097557441396
15,272.4207654773809
16,273.1300650836036
17,272.7832505041082
18,272.2640392223609
19,272.84798324156446
20,273.3894846921624
21,275.13044790268134
22,273.6982830838388
23,272.9567669784321
24,272.7367941470705
25,271.37746610991707
26,270.7594684032401
27,270.4170101193616
28,269.4812820771878
29,269.87303942005224
