,0
0,282.42359600514715
1,281.1295109855944
2,280.3559068321596
3,280.0255572900585
4,278.2256772628796
5,276.7815113826064
6,276.1517011526987
7,275.7189318653003
8,275.78175578178457
9,277.26563599425793
10,276.5428558158518
11,275.9001003491297
12,275.72699649561423
13,274.25630304785494
14,273.1217658327346
15,272.4744113629293
16,273.1609557970846
17,272.7735542863673
18,272.3215724822104
19,272.94754705446655
20,273.4927140889477
21,275.1939941458212
22,273.74573387479126
23,273.1035381350759
24,272.7916630048351
25,271.4391293158433
26,270.8689703962128
27,270.4347310906526
28,269.5357593382897
29,269.97177149931883
