,0,1,2,3,4,5,6,7
0,334.11404220317485,372.9828547480605,423.7781362436209,409.29017371688735,332.84026790662796,253.0571409959578,225.9695877468979,218.1017311431074
1,284.01722577994093,360.92068940099387,414.16179104318826,440.8175743463084,336.1895267439821,248.5662332039031,243.83052645886357,263.9500284036188
2,429.44111959455114,499.37799932659397,516.9098953980172,501.98096573373607,498.2843610407315,642.8956754089263,711.7560595073114,620.9389419750656
3,541.4643575921757,546.5538934179526,571.2431797116221,510.4398571115107,557.8356943057902,694.5335972753867,794.1942890768357,779.0528132363944
4,585.8126218362149,564.3573135222086,588.1690118718843,514.5699629383544,625.4795671839393,714.9677949717171,816.4483182789149,822.6445637088011
5,627.4088132270523,601.5531772592225,633.0454358907775,524.6705432591648,643.9207431628912,730.1544581144007,847.7637939228449,869.1266764429147
6,666.1343378861785,634.8630920111946,686.2230386247966,544.5763298902854,650.3587883290921,783.7616565916505,914.9276109469804,909.2253402928133
7,660.1593824469466,661.3389511462,737.9239723319538,554.7721479807905,634.8135951315052,795.4247879065315,944.8741191215839,943.5741746354579
8,647.746674064098,699.2269304565937,725.9012295650496,566.2214579325396,654.5694983097892,811.674758134724,947.0401153075834,954.2974353827848
9,668.1646849066071,744.6291620485958,719.6792932442394,548.5048993142651,696.4833926285836,863.2811494502555,1004.0272587431533,1000.0062366491065
10,731.3985155639547,712.7239975388552,754.9244674735914,586.7608430206509,730.844082074295,888.2589224988702,1035.6112832262231,1024.5242421609175
11,772.62859848158,720.5295522316513,782.632758719006,609.0960475158759,753.5256487883589,934.4714758156022,1031.0042494868057,1026.3050074921869
12,816.508332625301,742.0511787867505,796.1433370736157,605.2621106005788,801.8146537532945,1008.1330338367829,1104.9981639946002,1061.5029848921163
13,850.7209612966877,759.7848848853919,823.711252320338,638.0379066803405,826.0392746754605,1096.9420389977806,1139.393480562629,1135.956983068425
14,901.5611420460228,771.9008950701354,812.1254400282926,685.8642482897857,893.0607117327446,1175.5190807710837,1193.779154724513,1204.254304662854
15,948.386322343523,755.9182858524505,815.0403097110766,762.1536119655221,925.3525009194369,1216.627863922692,1227.6039686696352,1228.3491529126904
16,981.8334055391643,801.0553757038664,828.085859061828,811.550296866231,960.265144225831,1252.2151723764046,1270.4341649208413,1259.0407132411704
17,1028.957553882297,812.0724654710359,864.0579150206833,844.8277034480994,1006.8356835594495,1328.581376093996,1313.49482349276,1312.6179309650668
18,1075.0576365302366,841.9253846592782,923.5786225055015,879.2021745932477,1053.903086742814,1406.0451168927423,1367.5925698569285,1352.3162582995615
19,1124.122322711182,909.8257129105907,986.8523774085064,921.2041551476522,1081.464796289139,1445.5990675676085,1433.7424541464475,1386.9885917749987
20,1147.239929583161,943.3304533234525,1044.2640818646798,1000.6305684789571,1150.5881083600761,1523.8190646233816,1500.8234664689821,1473.6789653981643
21,1200.8422892574454,977.5066557941427,1083.685383793069,1070.9799340238378,1209.5870512978665,1655.2055662390355,1622.660932086002,1543.654140627719
22,1225.6129416854126,1003.240751321255,1101.7597277475006,1112.625179433774,1267.6879510456945,1756.3978713190966,1733.6007319620858,1610.6469297330457
23,1265.4821420929234,1065.6344214020146,1208.0148424530935,1111.7914472896257,1308.183618780532,1833.469753264542,1865.974386827959,1697.1234225714966
24,1309.8590938360626,1158.2582421935144,1345.6694681772253,1191.3259405552546,1361.605306210208,1946.6751064221744,1993.2433103250253,1792.7279487727426
25,1357.7942629308445,1249.276873750129,1438.114660819401,1298.2391161954247,1391.7088008035657,2057.025793190925,2148.4789893260263,1904.2670808964237
26,1407.4056159087709,1322.6598637746254,1513.255008897274,1344.507004934659,1437.798117142518,2113.652849117791,2243.549339598821,2009.3088214980344
27,1489.3268946783587,1361.9866917110953,1584.6249758106085,1400.7570155467342,1475.2504841846262,2147.3560694047173,2307.469609289547,2064.8668339026576
28,1553.1345018794948,1373.4784247296975,1641.1420656740465,1468.8035286365632,1544.5057658935111,2251.1200801682944,2329.7358986459512,2111.2011900098937
29,1589.9584521148952,1427.2707040161417,1726.807877191736,1540.2428146130358,1637.1581270771358,2318.6599786906363,2393.108559756232,2180.8443038874366
