,0
0,287.4251780151801
1,281.59463581892135
2,280.7316216229524
3,280.1586142068353
4,278.7041231752032
5,277.28901214014803
6,276.5800167413841
7,276.00040445903556
8,275.90903972609175
9,277.14786066626675
10,276.5046935252632
11,275.9591559025334
12,275.7778237301451
13,274.52748920569707
14,273.4382217905064
15,272.74073024453065
16,273.3082919354939
17,272.9455462874962
18,272.4126781385184
19,272.93144669251654
20,273.40457191288095
21,274.89118309250654
22,273.6894596053384
23,273.0633047854051
24,272.8420615880301
25,271.61109082756803
26,271.03545091906506
27,270.6375275778323
28,269.7711063304783
29,270.0544960189054
