,time
0,90.93366956710815
1,93.62974333763123
2,94.77250695228577
3,95.06365776062012
4,95.12313556671143
5,94.80768895149231
6,95.60412287712097
7,95.32975125312805
8,95.54088687896729
9,95.9661226272583
10,95.86807942390442
11,96.4584755897522
12,95.63299942016602
13,96.69065380096436
14,96.64534664154053
15,96.79648756980896
16,96.56474328041077
17,96.840252161026
18,96.4359028339386
19,96.53947710990906
20,97.09033560752869
21,96.97390079498291
22,97.4623646736145
23,97.58997821807861
24,97.35098814964294
25,97.3427517414093
26,97.26834797859192
27,97.63629841804504
28,98.14764475822449
29,97.96687078475952
