,0
0,287.51000172609383
1,281.5986088920086
2,280.75832871609686
3,280.18201150585077
4,278.7518705607505
5,277.30319631424874
6,276.6131490662029
7,276.0519192927716
8,275.96510806506456
9,277.17471330283036
10,276.5445678140112
11,275.9908020527683
12,275.8525932718391
13,274.5510796156272
14,273.4719851895294
15,272.8009612753088
16,273.34110473945856
17,272.9351343286175
18,272.46309841776815
19,273.044938950225
20,273.5022916016173
21,274.9420758857156
22,273.7397978248808
23,273.20456611291127
24,272.9015430605622
25,271.66611449175053
26,271.1433242604607
27,270.6728495103544
28,269.8279159426555
29,270.12797813888676
