,time
0,0.1150205135345459
1,0.10917353630065918
2,0.08257913589477539
3,0.09436845779418945
4,0.09557747840881348
5,0.09653401374816895
6,0.0987234115600586
7,0.141648530960083
8,0.09756326675415039
9,0.09445643424987793
10,0.10923910140991211
11,0.09291768074035645
12,0.09894752502441406
13,0.11702680587768555
14,0.0959632396697998
15,0.09934735298156738
16,0.09612584114074707
17,0.09633040428161621
18,0.09427022933959961
19,0.09105777740478516
20,0.09537768363952637
21,0.10073089599609375
22,0.10243964195251465
23,0.09734201431274414
24,0.10502028465270996
25,0.0921940803527832
26,0.09719657897949219
27,0.10660243034362793
28,0.10607600212097168
29,0.10142970085144043
