,time
0,0.10467720031738281
1,0.15750408172607422
2,0.1185002326965332
3,0.10631060600280762
4,0.09788703918457031
5,0.091094970703125
6,0.102569580078125
7,0.10904860496520996
8,0.10036659240722656
9,0.09119129180908203
10,0.09954833984375
11,0.0991048812866211
12,0.0956122875213623
13,0.11146187782287598
14,0.10264873504638672
15,0.09999418258666992
16,0.09894275665283203
17,0.10183835029602051
18,0.09524154663085938
19,0.10082721710205078
20,0.09020709991455078
21,0.10966253280639648
22,0.09063839912414551
23,0.10102534294128418
24,0.09960222244262695
25,0.0982515811920166
26,0.09511828422546387
27,0.09727001190185547
28,0.09319043159484863
29,0.0978238582611084
