,0
0,282.24350312667946
1,281.0425113168796
2,280.5263101514796
3,280.4508186281345
4,278.8683815981655
5,277.5543224808414
6,277.1325149207907
7,276.77023883338416
8,276.7824649336675
9,278.136654755283
10,277.367105910885
11,276.7017370153963
12,276.5097355346768
13,275.1858521365331
14,274.1560900850113
15,273.5923428104206
16,274.3251759517794
17,274.0197381036733
18,273.4950457271251
19,274.0430810562463
20,274.55511797177263
21,276.0997340533644
22,274.6318717428339
23,273.94311317713283
24,273.76864917448097
25,272.5377242213894
26,272.06758819459276
27,271.83780073073655
28,271.07327158752605
29,271.534075501563
