,0
0,287.51000172609383
1,281.4990808490051
2,280.6900633561995
3,280.3511497874623
4,279.11138142937
5,277.86415852318964
6,277.2376044547859
7,276.8901861462946
8,276.8884628796459
9,278.0329835106913
10,277.24148355072975
11,276.6341361084091
12,276.447598929335
13,275.1519571964661
14,274.16273512538703
15,273.59709508507984
16,274.24229080754907
17,273.86015981731197
18,273.424578663985
19,273.99511434951256
20,274.4282398432052
21,275.8307518340527
22,274.42703297881326
23,273.85263854167704
24,273.59088207948724
25,272.38409753279495
26,271.962099323451
27,271.6404428034035
28,270.9466230484098
29,271.41457805212093
