,0
0,285.3061852932425
1,282.99326108756503
2,281.6568837832899
3,280.82557763594514
4,278.5409145185381
5,276.67038176756256
6,275.81925993613464
7,275.28676547669687
8,275.3541532085537
9,277.1832146020214
10,276.6721824751778
11,275.8289152068577
12,275.70504669503964
13,273.98644401441345
14,272.4813976595594
15,271.5935345942453
16,272.4834765399036
17,272.17787649461053
18,271.7366265830045
19,272.55915807976317
20,273.4803610923796
21,275.7814961813314
22,274.23253439394483
23,273.3899724140145
24,272.96876204020725
25,271.2283782207039
26,270.4234107600912
27,269.85606781458443
28,268.60286262189203
29,269.1667763862966
