,0
0,287.4251780151801
1,284.50645982544944
2,282.71405957530675
3,281.57850908504673
4,279.5300394248633
5,277.8491952091059
6,276.72318082317497
7,275.7839986872394
8,275.554195765887
9,276.85808046102443
10,276.6380260032585
11,276.06934809027683
12,275.81007121432117
13,274.5805903890726
14,273.27422957780624
15,272.20106142079806
16,272.5690395938561
17,272.3117735574001
18,271.94685181045475
19,272.4739736691911
20,273.05329267481346
21,274.9751658962078
22,274.3298549153732
23,273.56729137523143
24,273.1594182320621
25,271.7939464083342
26,270.9166093547525
27,270.1557236247563
28,269.2594761656117
29,269.4473201893047
