,time
0,0.13417935371398926
1,0.10787725448608398
2,0.10161018371582031
3,0.1142418384552002
4,0.11272478103637695
5,0.10930919647216797
6,0.11230659484863281
7,0.1165311336517334
8,0.1105203628540039
9,0.10985207557678223
10,0.11136722564697266
11,0.10953116416931152
12,0.1118006706237793
13,0.11292433738708496
14,0.10682058334350586
15,0.15935134887695312
16,0.11592555046081543
17,0.11307573318481445
18,0.11421370506286621
19,0.10648155212402344
20,0.11268877983093262
21,0.10915088653564453
22,0.12252163887023926
23,0.11235880851745605
24,0.11012387275695801
25,0.11007094383239746
26,0.1215355396270752
27,0.11636018753051758
28,0.1117103099822998
29,0.12569808959960938
