,0
0,287.51000172609383
1,284.4902780888484
2,282.6229900918743
3,281.48365095418677
4,279.55607753408975
5,277.62151634052185
6,276.5022637144375
7,275.7193688513821
8,275.53301654707786
9,276.74982075191974
10,276.4619045226398
11,276.11818080290885
12,275.7766927793961
13,274.52194252875734
14,273.19957727240876
15,272.1591963619385
16,272.45446280217726
17,272.2511757585529
18,271.86592337706224
19,272.4527210517557
20,273.1081350396862
21,274.9256129852181
22,274.32727897994795
23,273.6871808945307
24,273.18492131538693
25,271.8557306365593
26,270.9500703268901
27,270.23412766910167
28,269.2478745382677
29,269.1978104659975
