r,run_folder,data_dir,n_cycles,TG1_avg,TG1_min,UG1_avg,UG1_min,VG1_avg,VG1_min,TRG1_avg,TRG1_min,PSG1_avg,PSG1_min,overall_avg
1,/gpfs/home/jjs21b/AMLCS/runs/t21_80_0.05_30_LETKF_1_1_100,/gpfs/home/jjs21b/AMLCS/runs/t21_80_0.05_30_LETKF_1_1_100/wdg_wsg_m1/data,30,0.8911177647651306,0.6383661347577624,0.5795497992413033,0.39346210267554915,0.6985754273668064,0.4588851265809417,0.19846347890537971,0.1471274005963889,0.0016123379573714965,0.0007698941833682153,0.47386376164719834
2,/gpfs/home/jjs21b/AMLCS/runs/t21_80_0.05_30_LETKF_2_1_100,/gpfs/home/jjs21b/AMLCS/runs/t21_80_0.05_30_LETKF_2_1_100/wdg_wsg_m1/data,30,0.8934722538900159,0.6131268070037682,0.5463644536454223,0.36788715412003964,0.6330078028029268,0.41595776911651294,0.18579208878978334,0.13621000944340492,0.001644153109155055,0.0008253264314864633,0.45205615044746067
3,/gpfs/home/jjs21b/AMLCS/runs/t21_80_0.05_30_LETKF_3_1_100,/gpfs/home/jjs21b/AMLCS/runs/t21_80_0.05_30_LETKF_3_1_100/wdg_wsg_m1/data,30,0.9863359836569832,0.7026849663813403,0.6371785793371358,0.4508804286667788,0.7102466620674406,0.49504852916421405,0.20791220746127206,0.15811316728787106,0.0018256708394193614,0.0010014528234789676,0.5086998206724502
4,/gpfs/home/jjs21b/AMLCS/runs/t21_80_0.05_30_LETKF_4_1_100,/gpfs/home/jjs21b/AMLCS/runs/t21_80_0.05_30_LETKF_4_1_100/wdg_wsg_m1/data,30,1.1824668907510072,0.9080533844909074,0.821552389695605,0.6073170704241752,0.8963293730303028,0.6584183623367701,0.22452408077190772,0.173400184142291,0.0020335348125377424,0.0011569782101142345,0.625381253812272
5,/gpfs/home/jjs21b/AMLCS/runs/t21_80_0.05_30_LETKF_5_1_100,/gpfs/home/jjs21b/AMLCS/runs/t21_80_0.05_30_LETKF_5_1_100/wdg_wsg_m1/data,30,1.2595193813336938,0.9894828693904604,1.0068773269121352,0.7406914468827059,1.0945766427610688,0.7954167475821279,0.24356970632530658,0.19260551627034447,0.002178441086580536,0.0012511651703679373,0.7213442996837569
