,time
0,0.1277172565460205
1,0.0993499755859375
2,0.0819852352142334
3,0.07690095901489258
4,0.0825490951538086
5,0.08562874794006348
6,0.0774538516998291
7,0.08830475807189941
8,0.07697606086730957
9,0.08663654327392578
10,0.07791900634765625
11,0.08021712303161621
12,0.08706235885620117
13,0.08295297622680664
14,0.07618832588195801
15,0.07618522644042969
16,0.07996988296508789
17,0.07759833335876465
18,0.08912110328674316
19,0.0848245620727539
20,0.07674813270568848
21,0.07679891586303711
22,0.07726144790649414
23,0.07592940330505371
24,0.07666468620300293
25,0.0758812427520752
26,0.0815579891204834
27,0.09109640121459961
28,0.07643437385559082
29,0.07777142524719238
