,0
0,287.51000172609383
1,284.9046651408412
2,283.1625259060419
3,281.98771120806066
4,279.89705034004623
5,278.0711416123756
6,277.02254951331173
7,276.15570543669145
8,275.85493678900895
9,276.85360469921795
10,276.46464726402587
11,275.9492478912714
12,275.784726976458
13,274.5112456307061
14,273.2967963047873
15,272.36758114661086
16,272.6996830262781
17,272.3072510554011
18,271.9498968254171
19,272.4838149175944
20,273.1569602398623
21,274.76979983619407
22,274.0504238171771
23,273.44873533290956
24,273.0980324426541
25,271.7387093722777
26,270.93849303007494
27,270.27411333786785
28,269.2524542229687
29,269.41843610301373
