,time
0,8.410823106765747
1,7.872089624404907
2,7.65762734413147
3,7.734782934188843
4,8.240856409072876
5,8.051152229309082
6,7.857275009155273
7,7.737063407897949
8,7.849126815795898
9,7.810042381286621
10,7.807610511779785
11,7.766225099563599
12,8.440755128860474
13,7.8557257652282715
14,8.117767810821533
15,7.712124347686768
16,7.75271463394165
17,7.743709325790405
18,7.808257818222046
19,7.687907457351685
20,7.715106010437012
21,7.679181337356567
22,7.845673561096191
23,7.837938547134399
24,7.723256587982178
25,7.718329906463623
26,8.370647668838501
27,8.316287517547607
28,7.706580638885498
29,7.711028099060059
