,0
0,287.4251780151801
1,281.86141569654956
2,294.1705834091487
3,305.52300324336903
4,310.18101601529565
5,311.6793628438109
6,312.13506561761307
7,313.87408459814844
8,314.6497717746127
9,315.69061125500934
10,315.1389498068162
11,315.0482846429354
12,315.5343161181955
13,314.97378533136157
14,314.97262396527856
15,315.9588879040453
16,317.981337279374
17,318.82650264779136
18,319.6115960287317
19,321.06109279371424
20,322.1532250346153
21,324.5252969543651
22,324.46361061206073
23,324.6915620135873
24,325.34890108336754
25,325.07650812477766
26,325.558401712615
27,326.3231340981838
28,326.5054041339722
29,327.5427274222254
