,time
0,162.76986479759216
1,167.43274569511414
2,168.0527846813202
3,169.78030705451965
4,168.52986001968384
5,167.94372129440308
6,168.47423815727234
7,168.72932267189026
8,167.20693969726562
9,168.17822194099426
10,167.9068365097046
11,169.47714686393738
12,167.9395854473114
13,167.4224238395691
14,168.22493743896484
15,168.70595479011536
16,168.44544124603271
17,169.23861575126648
18,168.56046891212463
19,167.52153134346008
20,168.79852032661438
21,170.20732402801514
22,167.43335890769958
23,167.72222542762756
24,168.95292353630066
25,168.86428236961365
26,169.83767747879028
27,170.3927869796753
28,168.5543622970581
29,169.98267221450806
