,time
0,0.10245728492736816
1,0.11418724060058594
2,0.08450007438659668
3,0.09245085716247559
4,0.10036206245422363
5,0.09255361557006836
6,0.09362506866455078
7,0.11832380294799805
8,0.08369970321655273
9,0.08867144584655762
10,0.09883642196655273
11,0.09677529335021973
12,0.1047365665435791
13,0.10992598533630371
14,0.09489154815673828
15,0.09231996536254883
16,0.08764243125915527
17,0.08146500587463379
18,0.09906673431396484
19,0.09082150459289551
20,0.08458447456359863
21,0.08977818489074707
22,0.09117341041564941
23,0.09185218811035156
24,0.08222699165344238
25,0.08391189575195312
26,0.09413909912109375
27,0.09885311126708984
28,0.08906269073486328
29,0.08954215049743652
