,0
0,287.51000172609383
1,281.86041701457225
2,295.1734590888289
3,307.12396514172053
4,311.8916548934537
5,313.3535694168076
6,313.66798115654933
7,315.3024287857877
8,316.09227832584827
9,317.08035584332515
10,316.45924874496353
11,316.2998281592294
12,316.8179055366451
13,316.21986469189187
14,316.3167375410058
15,317.393516648046
16,319.39624976644353
17,320.18296161035664
18,321.00891785994776
19,322.48498955372185
20,323.51270638378793
21,325.80306186428385
22,325.76441537767704
23,326.0838214492115
24,326.69265966019634
25,326.4550605515351
26,327.01592707051594
27,327.7277749100611
28,327.90730384470714
29,328.951778373975
