,0
0,282.6007494578016
1,294.560890620462
2,305.67367282615356
3,311.3443156013206
4,312.46932297489246
5,312.3066892617351
6,313.97573944911346
7,314.4376718686653
8,314.4358352266698
9,315.77647147610776
10,315.54788530151035
11,315.6209579668783
12,315.96973249271014
13,315.6697665897511
14,316.2618749595995
15,317.2292528479902
16,318.99046133484734
17,319.928290888528
18,320.49897074137533
19,321.6835759173806
20,323.2550007405844
21,325.6802620856818
22,325.2257215417074
23,325.4448954725849
24,326.0190048437249
25,325.8455637891785
26,326.4256012184591
27,327.038980509079
28,327.0703116816524
29,328.1799712312086
