,time
0,0.09194207191467285
1,0.0879361629486084
2,0.10297608375549316
3,0.08742308616638184
4,0.0958402156829834
5,0.09365344047546387
6,0.08639740943908691
7,0.09320902824401855
8,0.09001517295837402
9,0.08784127235412598
10,0.09592223167419434
11,0.09090924263000488
12,0.08864045143127441
13,0.08810114860534668
14,0.08910918235778809
15,0.0860590934753418
16,0.08594751358032227
17,0.08946442604064941
18,0.091827392578125
19,0.08602571487426758
20,0.08848929405212402
21,0.08794569969177246
22,0.0916738510131836
23,0.08825325965881348
24,0.0945746898651123
25,0.0896601676940918
26,0.08592963218688965
27,0.08765721321105957
28,0.09463047981262207
29,0.08780121803283691
