,0
0,287.6651811176631
1,285.78004714658016
2,284.03898834119667
3,282.08576700826507
4,279.4743301653865
5,277.809795916179
6,276.82869066180683
7,276.3670566868199
8,276.4056230014227
9,277.8335079755032
10,276.4841559942432
11,275.471704453581
12,275.0494243057382
13,273.6811206879013
14,272.37926420694043
15,271.99820535711234
16,273.1265491396383
17,272.81216741905246
18,272.32827150526686
19,272.5474765005432
20,272.99913388310455
21,275.3133188980961
22,273.5248154204288
23,272.5235677873087
24,272.0619349031869
25,270.311718181166
26,269.41519063488715
27,269.0247902961854
28,267.99798280816685
29,268.7907534020566
